Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,YCO/A,Breakout Age,BMI,TWP%,Speed,MTF,BTT%,aDOT,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Dorian Thompson-Robinson,-77.6223,-0.8036,9.9801,-33.1189,10.8658,4.4694,1.8557,-8.0902,-3.6162,-0.3983,6.0583,-9.4412,-3.5489,-25.7880,0.0000,4.4122,-103.4106,-103.0000,-0.4106
Cam Ward,-77.6223,-4.0735,0.4258,51.4508,3.4184,5.3293,-1.4185,0.4234,-3.1270,0.4317,0.6813,5.1879,1.1092,59.8388,0.0000,14.0451,-17.7835,-21.0000,3.2165
Lamar Jackson,-77.6223,1.3566,3.0798,50.7639,-18.5241,5.4664,6.2503,0.2977,-2.8598,0.0710,3.4044,-2.1567,3.1001,50.2496,0.0000,12.9663,-27.3727,-12.0000,-15.3727
Trey Lance,-77.6223,-4.0288,1.0803,46.6863,1.9109,-0.1868,-1.5000,-0.8526,0.2724,0.5771,-0.0981,-1.2294,0.4242,43.0555,0.0000,12.1570,-34.5668,-41.0000,6.4332
Sean Clifford,-77.6223,0.2218,-1.8277,-36.2618,-5.6409,-4.0035,-5.1904,-0.4020,2.8787,-0.5370,1.3338,-12.1758,2.3261,-59.2787,0.0000,0.6445,-136.9011,-177.0000,40.0989
Patrick Mahomes,-77.6223,-0.1800,3.1876,41.5402,3.5662,-4.7762,0.1342,3.4576,-2.0288,0.9204,3.2675,1.9528,-2.0130,49.0285,0.0000,12.8289,-28.5939,-28.0000,-0.5939
Jared Goff,-77.6223,1.3294,0.6213,48.8030,3.3129,-4.3461,5.3322,-2.9087,-3.0542,0.3110,-1.5628,4.6685,1.4632,53.9697,0.0000,13.3848,-23.6527,-27.0000,3.3473
Alex McGough,-77.6223,-2.9531,-5.6481,-34.2803,6.7270,-2.8362,11.6684,-1.2499,-4.6034,-0.0165,-0.2315,-5.4517,-2.8115,-41.6868,0.0000,2.6236,-119.3091,-98.0000,-21.3091
Shedeur Sanders,-77.6223,2.9063,-6.9508,-36.8766,9.8791,4.5146,-4.9258,-0.7854,3.8470,-3.3908,1.0794,1.2232,-3.0029,-32.4827,0.0000,3.6590,-110.1051,-88.0000,-22.1051
Trevor Lawrence,-77.6223,-2.4500,-0.5508,46.1020,3.3849,4.7006,5.7534,-2.5050,-1.3009,-2.7244,2.6543,4.1355,1.7044,58.9040,0.0000,13.9399,-18.7183,-2.0000,-16.7183
Brock Purdy,-77.6223,0.4151,-1.4154,-33.7678,6.4263,4.9765,10.3797,0.1183,-0.3781,1.1296,1.2892,-7.2529,-3.6543,-21.7338,0.0000,4.8683,-99.3560,-57.0000,-42.3560
Tua Tagovailoa,-77.6223,-1.0399,-1.6316,48.2622,7.9612,5.1057,-1.4632,2.4783,1.9983,0.5698,-0.5409,5.1614,1.2448,68.1061,0.0000,14.9751,-9.5163,-11.0000,1.4837
Jordan Travis,-77.6223,-1.2838,1.0127,-33.8834,5.1287,5.6325,-4.2172,-6.0563,2.5418,-0.7902,5.9853,6.6078,2.2818,-17.0403,0.0000,5.3963,-94.6625,-77.0000,-17.6625
Mason Rudolph,-77.6223,0.5396,-2.2565,-1.7397,3.6557,-4.7031,-0.8466,-0.9412,-3.4387,0.8454,-1.2087,3.0281,2.6589,-4.4068,0.0000,6.8175,-82.0291,-62.0000,-20.0291
Bo Nix,-77.6223,1.1424,2.5283,46.6393,5.6836,0.6918,1.6558,1.7840,3.0343,0.2150,-0.0849,-1.4803,-3.6203,58.1890,0.0000,13.8595,-19.4332,-29.0000,9.5668
Brandon Allen,-77.6223,-3.4078,0.1753,-30.8344,2.9475,5.0222,-2.9355,4.7844,3.6457,3.4936,-1.1741,0.2908,0.3965,-17.5958,0.0000,5.3338,-95.2181,-131.0000,35.7819
Kurtis Rourke,-77.6223,-1.5784,-0.3795,-33.8137,6.4708,5.6332,-0.1495,-4.1634,-1.3297,-0.6053,-0.8784,-5.1865,-1.7541,-37.7345,0.0000,3.0682,-115.3568,-122.0000,6.6432
Daniel Jones,-77.6223,-2.1188,1.6566,49.3692,-11.0256,4.3060,2.4646,-4.1168,-2.1935,0.9717,1.3264,-8.0174,-7.3994,25.2230,0.0000,10.1508,-52.3993,-44.0000,-8.3993
Cole McDonald,-77.6223,-4.2542,6.7267,-34.8781,-4.0211,-0.0772,-5.2233,-3.3277,-4.0510,-0.8591,-1.5621,1.8638,3.0354,-46.6279,0.0000,2.0677,-124.2501,-164.0000,39.7499
Connor Cook,-77.6223,1.2243,-4.1430,-21.0094,-23.1306,-8.0342,-1.9208,-6.7710,-5.3400,0.0924,-6.2392,7.2863,2.9772,-65.0080,0.0000,0.0000,-142.6303,-93.0000,-49.6303
Brandon Doughty,-77.6223,-1.2067,1.4441,-35.6914,9.9575,-10.3395,-4.9759,-3.0218,6.2428,2.3510,-3.6410,-4.1856,-3.0236,-46.0901,0.0000,2.1282,-123.7123,-171.0000,47.2877
Jacoby Brissett,-77.6223,0.5435,-1.7948,-6.7149,-11.9661,6.0352,-4.1002,0.0317,2.7862,0.5460,3.2469,-4.5298,-2.8804,-18.7967,0.0000,5.1987,-96.4191,-162.0000,65.5809
Joe Milton,-77.6223,-3.0027,-4.6345,-32.9299,3.3535,5.1626,-4.1862,-1.2481,4.1744,3.6024,-0.5847,0.3575,0.3202,-29.6155,0.0000,3.9816,-107.2379,-73.0000,-34.2379
Jayden Daniels,-77.6223,1.0042,2.6878,42.6470,3.0780,5.2981,5.3622,-2.3936,2.2947,-0.5873,3.2291,3.9970,1.7099,68.3271,0.0000,15.0000,-9.2950,-1.0000,-8.2950
