Player,Bias,DOM+,RDOM+,Draft Capital,Breakout Age,MTF/A,YPR,Break%,YPC,YCO/A,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Grade,Actual_RB_Grade,Error
Joshua Kelley,7.8587,-0.1583,-0.3371,-0.5037,-0.0692,-0.6701,0.2082,0.1071,-0.0116,-0.5199,0.0818,-1.9546,0.0818,5.9859,4.6500,1.3359
Trey Sermon,7.8587,-0.0791,-0.5097,1.2406,-0.7091,0.3617,-0.0003,-0.0911,0.3238,0.2836,0.0151,0.8204,0.0151,8.6943,7.7400,0.9543
Eno Benjamin,7.8587,0.5915,0.2238,-1.8294,0.3836,0.4449,0.0229,0.0599,-0.0410,-0.2457,-0.1182,-0.3895,-0.1182,7.3509,6.6100,0.7409
Tyler Allgeier,7.8587,-0.0270,-0.3428,-0.6553,-0.1058,0.4441,0.0199,-0.0688,0.3746,0.3062,-0.0347,-0.0549,-0.0347,7.7692,6.6300,1.1392
Keith Marshall,7.8587,-0.5801,-1.0164,-1.7730,-0.0429,-0.6603,0.0700,0.3212,-0.6213,-0.4923,0.1566,-4.7951,0.1566,3.2202,3.6000,-0.3798
Keaontay Ingram,7.8587,-0.4844,-0.2978,-1.5118,0.5386,0.2960,0.0297,0.1271,0.0420,-0.0145,0.0422,-1.2751,0.0422,6.6256,6.0700,0.5556
Cam Skattebo,7.8587,0.5847,0.7245,-0.4985,0.3535,0.4674,-0.0116,0.0292,0.0321,0.2957,-0.4413,1.9770,-0.4413,9.3944,9.9300,-0.5356
Gary Brightwell,7.8587,-0.2583,-0.2994,-1.4798,-0.7294,0.4249,0.0458,0.0908,-0.0133,0.4190,0.0660,-1.7997,0.0660,6.1250,5.3400,0.7850
Kimani Vidal,7.8587,-0.2499,-0.3197,-1.5524,0.5424,0.4759,0.0457,0.1227,-0.0135,0.0060,-0.1089,-0.9428,-0.1089,6.8070,5.5200,1.2870
Brian Hill,7.8587,0.1348,-0.4425,-0.6969,0.4581,-0.8699,-0.0652,-0.0911,0.0462,-0.5629,0.0017,-2.0894,0.0017,5.7712,5.3300,0.4412
Jase McClellan,7.8587,-0.2520,-0.3077,-1.5058,-0.3170,0.4267,-0.0320,0.1318,0.0139,0.0139,-0.1078,-1.8282,-0.1078,5.9227,6.2900,-0.3673
Derrius Guice,7.8587,0.6040,-0.5256,1.9656,0.2512,0.0176,0.0071,-0.0679,0.3610,0.3145,-0.0438,2.9275,-0.0438,10.7425,11.0200,-0.2775
DeeJay Dallas,7.8587,-0.6311,-0.3025,-0.3580,-0.0165,0.5608,0.2137,-0.0522,0.0168,0.0608,-0.0349,-0.5082,-0.0349,7.3155,6.5800,0.7355
Nick Chubb,7.8587,0.2016,-0.5814,2.0101,0.4407,-0.2672,-0.0681,-0.0709,0.4143,0.0145,-0.0269,2.0936,-0.0269,9.9255,10.6700,-0.7445
Christian McCaffrey,7.8587,0.8637,0.9005,3.4555,0.3809,-0.4414,0.0249,0.2715,0.3014,-0.3616,0.1602,5.3954,0.1602,13.4141,13.1400,0.2741
Ashton Jeanty,7.8587,0.6739,0.2664,3.3588,0.6918,0.6105,-0.0272,-0.0396,0.1776,0.8467,-0.0158,6.5589,-0.0158,14.4016,14.3900,0.0116
Isaiah Spiller,7.8587,0.4982,0.2321,-0.5023,0.5098,0.4951,0.0297,-0.0496,0.0101,0.4820,0.0368,1.7051,0.0368,9.6008,9.2600,0.3408
Kaytron Allen,7.8587,-0.3002,-0.5701,-0.6868,0.1769,0.6926,0.0387,-0.0671,0.3509,0.6644,-0.0235,0.2993,-0.0235,8.1344,9.6500,-1.5156
Mike Davis,7.8587,0.3808,0.1283,-0.6352,-0.1118,-0.7420,0.0040,0.1297,0.0015,-0.3848,-0.4809,-1.2295,-0.4809,6.1482,6.5800,-0.4318
Todd Gurley,7.8587,0.7496,0.4001,3.4228,0.6830,0.3404,-0.0004,-0.0096,0.3812,0.0279,0.1176,5.9950,0.1176,13.9712,14.3900,-0.4188
Rashaad Penny,7.8587,0.7831,-0.1765,2.9780,-0.2277,0.3076,-0.0403,-0.0360,0.3699,0.3895,-0.0356,4.3476,-0.0356,12.1706,10.8800,1.2906
Raymond Calais,7.8587,-0.7184,-0.5639,-1.8399,-0.0450,-0.6918,-0.0421,-0.1631,0.3858,0.2944,0.0463,-3.3840,0.0463,4.5209,2.2900,2.2309
D'Andre Swift,7.8587,0.0687,0.3808,2.2636,0.2548,-0.3914,0.2568,-0.0828,0.0448,0.0136,-0.0637,2.8089,-0.0637,10.6041,10.6900,-0.0859
DeAndre Washington,7.8587,-0.2124,0.1528,-0.7580,-0.7183,0.4087,0.0238,0.0864,0.0138,0.0026,0.0565,-1.0006,0.0565,6.9147,7.1200,-0.2053
Ty Johnson,7.8587,-0.4422,-0.5307,-1.4702,0.5315,-0.3520,0.0150,-0.1446,0.4252,0.6906,0.0351,-1.2774,0.0351,6.6164,7.3100,-0.6936
Kareem Hunt,7.8587,0.6349,0.8872,1.4394,0.4959,0.3990,0.0403,-0.0259,0.0071,0.3034,-0.0569,4.1813,-0.0569,11.9830,10.7800,1.2030
Darius Taylor,7.8587,0.7360,0.0901,-0.5729,0.4842,-0.2207,-0.0276,0.0718,0.0134,0.0667,0.1407,0.6410,0.1407,8.6404,9.7300,-1.0896
James Cook,7.8587,-0.7516,0.4415,2.3693,-0.5904,-0.2958,0.0394,0.1490,-0.0112,0.0304,0.1977,1.3806,0.1977,9.4370,8.8300,0.6070
Larry Rountree III,7.8587,0.8367,-0.2446,-1.4662,0.2672,-0.5250,0.0488,0.1746,-0.6400,-0.1685,0.0285,-1.7170,0.0285,6.1701,4.0100,2.1601
CJ Prosise,7.8587,0.2904,0.2842,1.4914,-0.3295,0.3437,0.3048,-0.0691,0.0347,-0.4428,0.0824,1.9078,0.0824,9.8488,9.5200,0.3288
Jaylen Wright,7.8587,-0.2496,-0.3994,-0.2957,-0.1157,0.5462,0.0148,-0.0589,0.3346,0.4313,0.0718,0.2076,0.0718,8.1381,8.8800,-0.7419
Brian Robinson Jr.,7.8587,-0.2682,-0.1799,1.2165,-0.6119,0.3474,0.0414,0.1585,-0.5915,0.3526,0.1025,0.4649,0.1025,8.4262,8.2200,0.2062
Boston Scott,7.8587,-0.6892,-0.3457,-1.4892,-0.5807,-0.3196,0.0331,-0.1146,0.3175,0.2649,0.0666,-2.9235,0.0666,5.0017,4.5200,0.4817
Quintrevion Wisner,7.8587,0.2774,-0.2569,-0.4331,0.2770,-0.2534,0.0162,0.1923,-0.6560,-0.8904,0.1660,-1.7269,0.1660,6.2978,7.2900,-0.9922
Tony Pollard,7.8587,-0.4053,0.3312,-0.4829,-0.0124,0.5763,-0.0581,-0.0970,0.3485,0.3473,0.0254,0.5476,0.0254,8.4316,8.7200,-0.2884
Dalvin Cook,7.8587,0.5216,0.2410,2.2201,0.5221,0.3458,-0.0563,-0.0388,0.3419,0.4437,0.0336,4.5411,0.0336,12.4333,12.4400,-0.0067
Jamaal Williams,7.8587,-0.3493,-0.4868,-0.4670,0.4167,-0.2457,0.0292,0.1290,0.0401,-0.4530,0.0841,-1.3868,0.0841,6.5559,5.4500,1.1059
Blake Corum,7.8587,0.4128,-0.4369,1.2297,-0.1144,0.3663,0.0279,-0.0485,0.0019,0.0724,0.0716,1.5112,0.0716,9.4415,8.8700,0.5715
Devin Neal,7.8587,0.6141,0.2527,-1.5781,0.4982,0.4401,0.0256,-0.0290,0.0275,-0.0645,0.0456,0.1866,0.0456,8.0910,8.2200,-0.1290
Cam Akers,7.8587,-0.0967,-0.1842,1.9614,0.4809,0.3655,0.0081,-0.2827,-0.7366,0.0321,0.0761,1.5478,0.0761,9.4826,10.9100,-1.4274
Darius Jackson,7.8587,-0.3867,-0.3036,-1.5471,-0.3982,-0.8256,0.0655,-0.0753,-0.5230,-0.7920,0.1053,-4.7860,0.1053,3.1779,3.1800,-0.0021
Justice Hill,7.8587,-0.4753,-0.5097,-0.4581,0.5252,-0.4593,-0.1044,-0.2657,-0.0053,-0.4633,-0.0314,-2.2159,-0.0314,5.6113,6.4800,-0.8687
Chuba Hubbard,7.8587,0.1391,-0.2998,-0.4865,0.3244,-0.4156,-0.0060,-0.0880,0.0492,0.0739,-0.0131,-0.7093,-0.0131,7.1363,8.6500,-1.5137
Qadree Ollison,7.8587,-0.3323,-0.3775,-0.7002,0.4656,-0.7289,0.0333,-0.0837,0.0623,0.0841,-0.0533,-1.5773,-0.0533,6.2280,6.1400,0.0880
Isiah Pacheco,7.8587,-0.3596,-0.3108,-1.8339,0.2828,-0.9727,0.0012,0.1012,-0.6997,-0.4193,0.0709,-4.2108,0.0709,3.7189,4.0600,-0.3411
Ty Chandler,7.8587,-0.3748,-0.0302,-0.6453,-0.0254,0.1240,-0.0320,-0.1037,-0.0356,0.0660,-0.0263,-1.0570,-0.0263,6.7753,6.8300,-0.0547
Mike Weber,7.8587,-0.4770,-0.4348,-1.7793,0.5650,0.1597,0.0640,0.1041,0.0681,-0.0176,0.0373,-1.7478,0.0373,6.1482,5.5600,0.5882
