feature,tree_feature_importance,kind
Y/RR,0.24938121924577067,base
Draft Capital,0.1,base
DOM+,0.06456460053496688,base
Y/REC,0.06290622028423946,base
SpeedxBMI,0.04730710471803197,interaction
REC%,0.036167372652886075,base
YAC/R,0.026947380698455446,base
Breakout Age,0.02277711674952935,base
aDOT,0.020598107766214003,base
CC%,0.018324538437098786,base
Slot%,0.014517433514377329,base
Wide%,0.012888169719600514,base
ELU,0.00840070154619364,base
Drop%,0.00818773050405333,base
Wide%xSlot%,0.006408329097900044,interaction
FUM,0.00141310271046838,base
