Player,Bias,DOM+,Y/RR,EPA/P,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_TE_Grade,Actual_TE_Grade,Error
Kyle Pitts,6.9525,1.8343,1.5934,0.0000,0.6815,3.4277,0.6815,11.0618,15.0000,-3.9382
C.J. Conrad,6.9525,0.8446,0.9108,0.0000,-0.8077,1.7554,-0.8077,7.9002,6.0600,1.8402
Josh Oliver,6.9525,0.3003,-0.3096,0.0000,0.7205,-0.0093,0.7205,7.6637,7.7900,-0.1263
Austin Roberts,6.9525,-1.9622,-0.0184,0.0000,0.6276,-1.9806,0.6276,5.5995,2.8300,2.7695
Oscar Delp,6.9525,-1.8122,-1.3364,0.0000,0.5468,-3.1486,0.5468,4.3507,5.5400,-1.1893
T.J. Hockenson,6.9525,1.5257,0.6491,0.0000,0.6098,2.1748,0.6098,9.7371,14.0400,-4.3029
Kahale Warring,6.9525,0.3606,-1.1533,0.0000,0.8215,-0.7927,0.8215,6.9813,8.2800,-1.2987
Cole Kmet,6.9525,1.7499,-1.4206,0.0000,0.3576,0.3293,0.3576,7.6394,9.9400,-2.3006
Charlie Kolar,6.9525,1.3701,0.6113,0.0000,0.2810,1.9814,0.2810,9.2148,7.7100,1.5048
CJ Usomah,6.9525,-1.9588,0.9874,0.0000,-0.7059,-0.9714,-0.7059,5.2752,6.0700,-0.7948
Irv Smith Jr.,6.9525,-0.6165,1.0929,0.0000,-0.5198,0.4764,-0.5198,6.9091,10.1400,-3.2309
Malcolm Johnson,6.9525,-1.0251,-0.8991,0.0000,-0.3636,-1.9242,-0.3636,4.6647,3.1400,1.5247
EJ Bibbs,6.9525,-0.0095,-1.5778,0.0000,-0.9774,-1.5873,-0.9774,4.3877,1.9300,2.4577
Will Mallory,6.9525,0.8782,-0.9273,0.0000,0.6457,-0.0491,0.6457,7.5491,8.0500,-0.5009
Benjamin Yurosek,6.9525,-0.0079,-1.1187,0.0000,0.8018,-1.1266,0.8018,6.6277,5.2400,1.3877
Michael Roberts,6.9525,-1.5504,-1.1077,0.0000,-0.8792,-2.6581,-0.8792,3.4151,3.7300,-0.3149
Tommy Sweeney,6.9525,1.2864,-1.4047,0.0000,-1.1135,-0.1183,-1.1135,5.7207,5.2700,0.4507
Max Klare,6.9525,0.8473,0.7376,0.0000,0.5544,1.5849,0.5544,9.0917,10.4900,-1.3983
Will Dissly,6.9525,-1.1093,-1.4088,0.0000,-0.9890,-2.5181,-0.9890,3.4453,5.3600,-1.9147
Thomas Yassmin,6.9525,-2.3029,0.5605,0.0000,0.5327,-1.7424,0.5327,5.7428,4.9100,0.8328
Jeremy Sprinkle,6.9525,-0.9556,0.7843,0.0000,0.8139,-0.1713,0.8139,7.5951,5.7600,1.8351
Oronde Gadsden II,6.9525,1.7219,1.7343,0.0000,0.4777,3.4562,0.4777,10.8864,9.0200,1.8664
Jordan Akins,6.9525,0.8053,0.5189,0.0000,-0.8634,1.3242,-0.8634,7.4133,7.9000,-0.4867
David Morgan,6.9525,0.0169,1.0590,0.0000,-0.9307,1.0759,-0.9307,7.0976,5.1900,1.9076
Kyle Carter,6.9525,-1.7121,-1.4934,0.0000,0.6929,-3.2055,0.6929,4.4399,1.0700,3.3699
Marshon Ford,6.9525,-0.0429,0.6827,0.0000,-0.8987,0.6398,-0.8987,6.6936,4.7500,1.9436
Noah Gray,6.9525,-0.6091,-1.3715,0.0000,0.4363,-1.9806,0.4363,5.4083,5.3800,0.0283
Charlie Woerner,6.9525,-1.7376,-1.0896,0.0000,0.6727,-2.8272,0.6727,4.7980,2.2000,2.5980
Mitchell Evans,6.9525,0.1600,0.7022,0.0000,-0.6594,0.8622,-0.6594,7.1553,6.8600,0.2953
Chris Herndon,6.9525,0.2845,-0.8667,0.0000,-0.9447,-0.5822,-0.9447,5.4256,6.7100,-1.2844
Jake Butt,6.9525,1.7372,0.2823,0.0000,0.7586,2.0195,0.7586,9.7306,8.6700,1.0606
Eric Saubert,6.9525,-0.1638,0.6831,0.0000,0.4935,0.5193,0.4935,7.9653,6.7900,1.1753
Greg Dulcich,6.9525,2.3460,1.1566,0.0000,0.8820,3.5026,0.8820,11.3371,10.9400,0.3971
Peyton Hendershot,6.9525,1.9962,0.2630,0.0000,-0.8381,2.2592,-0.8381,8.3735,6.1900,2.1835
Travis Vokolek,6.9525,-0.0418,-1.3459,0.0000,-0.2746,-1.3877,-0.2746,5.2902,4.1300,1.1602
Jalin Conyers,6.9525,-1.7645,0.7199,0.0000,-0.6796,-1.0446,-0.6796,5.2284,4.8400,0.3884
Blake Bell,6.9525,-1.7588,-1.4818,0.0000,0.7194,-3.2406,0.7194,4.4313,3.9100,0.5213
Jared Pinkney,6.9525,1.4305,0.9764,0.0000,-1.2077,2.4069,-1.2077,8.1518,6.1100,2.0418
Ryan Izzo,6.9525,0.4107,-1.6192,0.0000,-1.0905,-1.2085,-1.0905,4.6535,4.9000,-0.2465
Trey Knox,6.9525,-0.6440,-1.4719,0.0000,0.4163,-2.1159,0.4163,5.2529,5.6600,-0.4071
Nick Eubanks,6.9525,1.6021,-1.7040,0.0000,-0.8966,-0.1019,-0.8966,5.9539,5.0400,0.9139
Cethan Carter,6.9525,-1.0699,-1.5169,0.0000,0.8178,-2.5868,0.8178,5.1834,2.8000,2.3834
Jake McGee,6.9525,-1.4793,-1.2282,0.0000,-0.1040,-2.7075,-0.1040,4.1410,0.5700,3.5710
